Precio,Habitaciones,Baños,Parqueos,Sector,Condicion,Uso Actual,mt2,Piso/Nivel,Ascensor,Edificable,Agno Construccion,Planta Electrica,Seguridad 24 Horas,Control de Acceso,Piscina,Gimnasio,Medio baño
1800.0,2,2,2, Piantini,Nueva,Residencial,108.0,11,True,False,2021,True,True,True,True,True,True
1800.0,3,4,2,  Arroyo Hondo Viejo,Segundo Uso,Residencial,272.0,3,True,False,2024,True,True,True,False,False,False
2800.0,2,2,3, Ensanche Naco,Segundo Uso,Residencial,194.0,6,True,False,2023,False,False,False,True,False,True
2500.0,2,2,2, Ensanche Naco,Nueva,Mixto,194.0,6,True,False,2023,True,True,False,True,True,True
2400.0,3,3,2, Bella Vista,Nueva,Residencial,185.0,5,True,False,2024,True,True,True,True,True,True
2200.0,2,2,2, Malecón,Remodelada,Residencial,185.0,14,False,False,2019,True,False,False,False,False,True
2000.0,3,3,2, Piantini,Segundo Uso,Mixto,220.0,2,True,False,2021,True,True,True,False,False,True
2000.0,3,3,2, Piantini,Segundo Uso,Residencial,150.5397022332506,1,True,False,2021,False,False,False,False,False,True
2100.0,2,2,3, Ensanche Naco,Segundo Uso,Residencial,170.0,12,True,False,2013,True,True,True,True,True,True
2000.0,3,3,2, La Julia,Segundo Uso,Residencial,170.0,10,True,False,2021,True,True,False,True,True,True
1800.0,3,3,2, Mirador Norte,Segundo Uso,Residencial,263.0,2,True,False,2023,True,True,True,True,True,True
1600.0,2,2,2, Bella Vista Sur,Nueva,Residencial,100.0,8,True,False,2024,True,True,True,True,True,True
2200.0,3,3,3, Piantini,Segundo Uso,Residencial,236.0,5,True,False,2021,True,True,False,False,False,True
1590.0,2,2,2, Urb. Real,Nueva,Residencial,125.0,5,True,False,2023,True,True,True,True,True,True
2000.0,3,2,2, Serrallés,Segundo Uso,Residencial,194.0,8,True,False,2020,True,True,True,False,True,False
1600.0,2,2,2, Urb. Real,Nueva,Residencial,125.0,6,True,False,2023,True,True,True,True,True,True
3200.0,2,2,3, Ensanche Naco,Nueva,Residencial,134.0,8,True,False,2023,True,True,True,True,True,True
2150.0,2,2,2, Malecón,Nueva,Residencial,208.0,14,True,False,2019,True,True,True,True,True,True
